File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.0,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,32175,63854,31703,1,3,901.7642267278541,160.0,120.0,76800.0,4.164974,0.5216197160512926
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.0,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,47531,94516,47009,1,3,950.8723080475002,160.0,120.0,76800.0,12.500039,0.4788183836497364
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.0,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,104590,208334,103772,1,3,1977.2796838306597,160.0,120.0,76800.0,21.269639,0.8447863590074166
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.0,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,596,103655,207138,103523,1,3,11364.868705909365,160.0,120.0,76800.0,11.621979,0.7241713644830566
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.0,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1235,171910,347269,175404,1,3,53499.03799398392,160.0,120.0,76800.0,13.27449,0.6312407667673795
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,38159,75663,37527,1,3,1492.0841359424799,160.0,120.0,76800.0,4.144111,0.3531622706641448
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,74572,147613,73085,1,3,3639.8239391904135,160.0,120.0,76800.0,7.501214,0.6365581169351678
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,135492,268545,133108,1,3,4239.11030739634,160.0,120.0,76800.0,12.734962,0.6951851443886695
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,641,290777,576306,285632,1,3,17659.054754148958,160.0,120.0,76800.0,34.216875,0.7225971541752653
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1253,327950,651623,323860,1,3,20817.007474884,160.0,120.0,76800.0,24.948793,0.5121651968628262
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,38321,75841,37550,1,3,648.0510636129783,160.0,120.0,76800.0,5.003754,0.5757643639232043
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,74578,147672,73143,1,3,4511.521915600393,160.0,120.0,76800.0,7.092803,0.514072222883567
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,123027,243908,120959,1,3,20266.512689641728,160.0,120.0,76800.0,9.31321,0.6145265986241667
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,641,290646,575403,284952,1,3,15514.482354728027,160.0,120.0,76800.0,20.314825,0.6995604093396948
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1281,524116,1038758,514935,1,3,32033.84710137369,160.0,120.0,76800.0,44.55566,0.7236360300127608
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,37414,74055,36672,1,3,525.8824563326489,160.0,120.0,76800.0,4.800095,0.5833100061882585
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,68628,135818,67237,1,3,2449.0860633707243,160.0,120.0,76800.0,7.228188,0.6436769525390856
Ana_1,nmsl5,BLENDER_RENDER,20.0,0.366,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,136493,271032,134581,1,3,2002.018011016287,160.0,120.0,76800.0,31.27724,0.5358527858954024
