Server,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Coverage,Render time
0,20,0,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,20005,39899,19900,1,3,1586.686995,160,120,76800,0.541740583,7.706019
0,20,0,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,71066,140884,69855,1,3,2370.220321,160,120,76800,0.726081455,20.750555
0,20,0,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,318,43274,86567,43366,1,3,1122.062835,160,120,76800,0.642158112,22.137054
0,20,0,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,165314,329266,164071,1,3,2215.661408,160,120,76800,0.894415457,133.193595
0,20,0,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,309139,616215,307301,1,3,12232.0008,160,120,76800,0.908187035,92.680633
0,20,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,23151,46154,23013,1,3,435.6061539,160,120,76800,0.392707138,10.159963
0,20,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,67096,132917,65867,1,3,5685.126113,160,120,76800,0.483573943,11.038755
0,20,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,319,107170,213010,105873,1,3,6742.031564,160,120,76800,0.484676216,23.286878
0,20,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,265949,527802,261922,1,3,6587.861226,160,120,76800,0.709587952,80.243014
0,20,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,523326,1038492,515223,1,3,50450.36121,160,120,76800,0.718049809,65.122848
0,20,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,37773,74891,37125,1,3,1199.489816,160,120,76800,0.516918753,11.771611
0,20,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,72355,143678,71335,1,3,662.2332353,160,120,76800,0.516118699,36.372053
0,20,0.244,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,128390,254866,126515,1,3,2126.144867,160,120,76800,0.686855463,45.829375
0,20,0.244,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,633,245228,486180,241078,1,3,10419.82595,160,120,76800,0.679422796,44.367878
0,20,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1276,417824,832523,414682,1,3,12914.33241,160,120,76800,0.661196131,190.943192
0,20,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,39545,78257,38744,1,3,1074.915276,160,120,76800,0.403582019,9.711051
0,20,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,157,49218,97657,48474,1,3,2747.458182,160,120,76800,0.400504146,11.222187
0,20,0.366,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,312,89791,178498,88739,1,3,1893.701148,160,120,76800,0.45164703,27.286662
0,20,0.366,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,293961,582293,288506,1,3,15781.52264,160,120,76800,0.780877071,70.352039
0,20,0.366,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1238,389271,773002,383890,1,3,17727.74237,160,120,76800,0.794486087,80.767636
0,20,0.488,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,79,32055,63614,31581,1,3,1619.563712,160,120,76800,0.471692434,6.27989
0,20,0.488,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,160,48913,97130,48250,1,3,1250.106953,160,120,76800,0.37547831,14.043195
0,20,0.488,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,134761,267203,132508,1,3,9027.35591,160,120,76800,0.637302992,24.019051
0,20,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,639,248602,492679,244252,1,3,11374.28445,160,120,76800,0.814491433,53.595208
0,20,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,526371,1042596,516644,1,3,47337.55546,160,120,76800,0.696178041,68.34989
0,40,0,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,33039,65479,32465,1,3,1069.26308,320,240,307200,0.623720423,7.184235
0,40,0,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,71333,141244,69953,1,3,2504.177642,320,240,307200,0.686343238,19.927489
0,40,0,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,320,62887,125637,62800,1,3,2996.465508,320,240,307200,0.719967997,17.648493
0,40,0,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,177469,353369,176001,1,3,4894.994194,320,240,307200,0.86823752,73.169511
0,40,0,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1231,245274,492894,247633,1,3,20211.47087,320,240,307200,0.797877806,61.242337
0,40,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,39244,77697,38480,1,3,1560.362153,320,240,307200,0.417525709,11.968203
