File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.122,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1496.1690878410482,384.0,216.0,331776.0,0.125101,0.19273948043856573
Bambo_House_1,nmsl5,CYCLES,20.0,0.122,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1833.075924384662,384.0,216.0,331776.0,25.104655,0.2738460749901065
ShipMoscow_1,nmsl5,BLENDER_RENDER,20.0,0.122,1,43,126778,226096,104336,4,2,2,0,0,0,0,24,9,41,126778,226096,104336,24,9,2855.158665512029,384.0,216.0,331776.0,0.89527,0.24783234503933813
ShipMoscow_1,nmsl5,CYCLES,20.0,0.122,1,43,126778,226096,104336,4,2,2,0,0,0,0,24,9,41,126778,226096,104336,24,9,2871.608112745479,384.0,216.0,331776.0,0.269994,0.3123316698196526
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.0,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,0.065431,0.2019706901399523
Bambo_House_1,nmsl5,CYCLES,20.0,0.0,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,20.583599,0.2019706901399523
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.0,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1906.0532226123535,384.0,216.0,331776.0,0.122529,0.2801836604889763
Bambo_House_1,nmsl5,CYCLES,20.0,0.0,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1272.5551287683625,384.0,216.0,331776.0,29.005596,0.23055827485515634
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.0,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95476,181816,88508,11,10,2493.611651969401,384.0,216.0,331776.0,0.237822,0.5487869930005334
Bambo_House_1,nmsl5,CYCLES,20.0,0.0,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,86256,168711,84179,11,10,4385.766912531273,384.0,216.0,331776.0,61.042871,0.5839659932121479
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.0,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,185898,356340,174550,11,10,8401.892855152055,384.0,216.0,331776.0,0.485865,0.5676410600200125
Bambo_House_1,nmsl5,CYCLES,20.0,0.0,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,190809,363548,177016,11,10,7371.224128547065,384.0,216.0,331776.0,68.253901,0.40264514078083596
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.0,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,334001,659857,331741,11,10,11241.843121420055,384.0,216.0,331776.0,1.036872,0.638486558646997
Bambo_House_1,nmsl5,CYCLES,20.0,0.0,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,352188,687398,341708,11,10,15276.48775208059,384.0,216.0,331776.0,113.283736,0.5086472351594371
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.122,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,0.065101,0.14851484815104668
Bambo_House_1,nmsl5,CYCLES,20.0,0.122,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,384.0,216.0,331776.0,17.011616,0.14851484815104668
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.122,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1408.790286377941,384.0,216.0,331776.0,0.111943,0.26387801887246404
Bambo_House_1,nmsl5,CYCLES,20.0,0.122,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1863.562879908253,384.0,216.0,331776.0,37.890799,0.3094722895830097
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.122,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95476,181816,88508,11,10,2676.617218793162,384.0,216.0,331776.0,0.236934,0.37071199212494754
Bambo_House_1,nmsl5,CYCLES,20.0,0.122,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95469,181810,88507,11,10,2840.2656490346385,384.0,216.0,331776.0,28.864851,0.3148623421812768
